text,label
New smartphone chip is 30% faster than previous,Real
IMF predicts 3% global growth for next year,Real
New wildlife sanctuary established in northern region,Real
Apple Pay expands to 10 new countries,Real
Government bans single use plastic bags,Real
New archaeological site discovered in Egypt,Real
Microsoft acquires gaming company for 5 billion,Real
New high speed internet reaches rural areas,Real
WHO warns about new flu strain,Real
Tesla factory produces 1 million cars this year,Real
New art exhibition opens in national museum,Real
Government launches digital payment system,Real
Scientists map human genome with 99% accuracy,Real
New cricket stadium to be built in Peshawar,Real
Amazon drone delivery starts in 3 cities,Real
New law protects journalists freedom of speech,Real
NASA plans mission to Jupiter moon Europa,Real
New public transport app launched nationwide,Real
Gold prices hit 6 month high,Real
New study links exercise to better mental health,Real
Government signs trade deal with 5 countries,Real
New vaccine for malaria shows 80% effectiveness,Real
Disney announces new movie release dates,Real
Pakistan hosts international trade conference,Real
New satellite launched for weather monitoring,Real
Government approves budget for new hospitals,Real
Scientists develop robot that can walk like human,Real
New airline starts flights to Europe,Real
UN reports decrease in global poverty rate,Real
New tech startup raises 50 million funding,Real
Government announces free healthcare for children,Real
New research shows benefits of green tea,Real
Aliens landed in Karachi yesterday government hiding it,Fake
Cure for cancer found but big pharma is hiding it,Fake
Celebrity died in car crash but is actually alive,Fake
5G towers spread coronavirus says viral post,Fake
Drinking bleach cures COVID-19 instantly,Fake
Government putting chips in vaccines to track people,Fake
Eating garlic prevents all diseases doctors dont want you to know,Fake
Flat earth proof NASA is lying to everyone,Fake
Time traveler predicts world war next week,Fake
Secret society controls all world banks,Fake
Moon landing was filmed in Hollywood studio,Fake
Lose 10kg in 3 days with this one trick doctors hate,Fake
Petrol prices will be zero from next month government announced,Fake
WhatsApp will charge 500 rupees per month starting tomorrow,Fake
Eating ice cream cures diabetes new research,Fake
Scientists found fountain of youth in Antarctica,Fake
All mobile phones will explode at midnight,Fake
Prime Minister resigns but media hiding it,Fake
Facebook will start reading your mind through camera,Fake
Banks will close for 1 month due to economic collapse,Fake
Drinking salt water cures all viral infections,Fake
Government will give 1 million rupees to every citizen,Fake
New planet discovered with human civilization living there,Fake
WiFi signals cause cancer doctors confirmed,Fake
Elon Musk bought Pakistan and renamed it Teslastan,Fake
You can get free iPhone 15 by sharing this post,Fake
Scientists proved time travel is possible and they did it,Fake
All schools will remain closed for 2 years starting next week,Fake
Eating chocolate makes you 10 years younger instantly,Fake
Government installing cameras in every home for surveillance,Fake
New virus created in lab will wipe out humanity,Fake
NASA faked all Mars photos in studio,Fake
Celebrities are actually robots controlled by government,Fake
Drinking coffee causes heart attack in 5 minutes,Fake
Secret cure for diabetes found in banana peels,Fake
All banks will be hacked tomorrow at 12am,Fake
Government will ban internet for 30 days,Fake
Eating onions at night causes memory loss,Fake
Aliens contacting world leaders through dreams,Fake
New law makes breathing air illegal without license,Fake
Scientists discovered that earth is actually cube shaped,Fake
WhatsApp messages are being sold to aliens,Fake
Drinking hot water with lemon cures cancer,Fake
Government hiding evidence of dinosaurs still alive,Fake
All cars will be banned and only bikes allowed,Fake
New app can predict lottery numbers with 100% accuracy,Fake
Scientists found that gravity is just a myth,Fake
Eating rice causes diabetes in one week,Fake
Government will tax oxygen from next month,Fake
Facebook CEO is actually 3 people in one suit,Fake
New medicine makes you immortal but pharma hiding it,Fake
All ATMs will stop working due to solar storm,Fake
Scientists proved that we live inside a computer simulation,Fake
Drinking energy drinks makes you fly for 10 seconds,Fake
Government will replace all teachers with AI robots,Fake
New study shows sleeping less than 8 hours makes you genius,Fake
Aliens built pyramids and left message inside them,Fake
All news channels are owned by one secret company,Fake
Eating apples can make you see in the dark,Fake
Government will ban all social media except one app,Fake
Scientists discovered portal to parallel universe in basement,Fake
Drinking milk causes bones to become weak,Fake
New virus spreads through 4G network only,Fake
Celebrity pregnancy announced but baby is from alien,Fake
Government will give free houses to everyone who retweets this,Fake
Scientists found that plants can talk and complain,Fake
All credit cards will be replaced with thumb prints,Fake
Eating spicy food causes hair to turn white,Fake
New law requires everyone to wear helmet while sleeping,Fake
Government hiding cure for baldness in secret lab,Fake
Scientists proved that cats are controlling human minds,Fake
Drinking 10 glasses of water at once cures everything,Fake
All universities will teach only one subject from now,Fake
New technology can turn water into petrol,Fake
Government will track everyone through toothpaste,Fake
Scientists discovered that moon is made of cheese,Fake
Eating bananas makes you allergic to wifi signals,Fake
New app reads your thoughts and posts them online,Fake
Government will ban wearing blue color clothes,Fake
Scientists found that clouds are actually cotton candy,Fake
Drinking tea causes 90% of all diseases,Fake
All traffic lights will be controlled by AI from space,Fake
New research shows that fish can drive cars,Fake
Government will charge people for using sunlight,Fake
Scientists proved that time goes backwards on Tuesdays,Fake
Eating bread causes you to forget your name,Fake
New virus only affects people who watch news,Fake
Government will make everyone learn 10 languages,Fake
Scientists discovered that trees are actually aliens,Fake
Drinking cold water causes instant weight gain of 10kg,Fake
All phones will be replaced with brain chips next year,Fake
New law bans talking to strangers on street,Fake
Government hiding city under ocean with mermaids,Fake
Scientists found that stars are just LED lights,Fake
Eating meat causes you to grow extra finger,Fake
New app can control weather with your voice,Fake
Government will tax people for dreaming at night,Fake
Scientists proved that we are living in 1999 not 2026,Fake
